all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,167271,281097,234,295,381,117131


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,His textbook Morphology IV : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : Being The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of English Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Written Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words . was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the earliest major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the early major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major seminal works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major founding works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major pioneering works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major influential works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major works outside of American Structuralism .

original sentence,It owns the title of the longest-running North American sci-fi series in history . [ 10 ]
wrong word,North 8
mutation sentence,It owns now the title of the longest-running North American sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running North American TV sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running North American sci-fi TV series in history . [ 10 ]

original sentence,Why did you decide to use a Creative Commons license ?
wrong word,Creative 8
mutation sentence,Why did this you decide to use a Creative Commons license ?
mutation sentence,Why did you suddenly decide to use a Creative Commons license ?
mutation sentence,Why did you finally decide to use a Creative Commons license ?
mutation sentence,Why did you decide to just use a Creative Commons license ?
mutation sentence,Why did you decide to instead use a Creative Commons license ?
mutation sentence,Why did you decide to never use a Creative Commons license ?
mutation sentence,Why did you decide to first use a Creative Commons license ?
mutation sentence,Why did you decide to use such a Creative Commons license ?
mutation sentence,Why did you decide to use a Creative Commons license instead ?
mutation sentence,Why did you decide to use a Creative Commons license again ?
mutation sentence,Why did you decide to use a Creative Commons license today ?
mutation sentence,Why did you decide to use a Creative Commons license then ?
mutation sentence,Why did you decide to use a Creative Commons license here ?
mutation sentence,Why did you decide to use a Creative Commons license anyway ?
mutation sentence,Why did you decide to use a Creative Commons license online ?

original sentence,Myanmar is mainly Buddhist and the United Nations rates the Rohingya among the world 's most persecuted groups .
wrong word,Buddhist 4
mutation sentence,Myanmar is today mainly Buddhist and the United Nations rates the Rohingya among the world 's most persecuted groups .
mutation sentence,Myanmar is mainly Buddhist and the 2008 United Nations rates the Rohingya among the world 's most persecuted groups .

original sentence,"When applying to the Cuban Consulate by post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
wrong word,Cuban 5
mutation sentence,"When applying to the Cuban Consulate by diplomatic post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by registered post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by courtesy post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by military post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by passport post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by air post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by second post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post abroad , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , then there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , UK there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , today there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , here there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."

original sentence,If you can not go to the Cuban Consulate you may consider using VisaCuba ( [ 3 ] ) because it may be cheaper .
wrong word,Cuban 8
mutation sentence,If you can not go to the Cuban Consulate then you may consider using VisaCuba ( [ 3 ] ) because it may be cheaper .



"pos from 形容 to 标点
"


"pos from 形容 to 从句连词
"


"pos from 形容 to 符号
"


"pos from 形容 to 动词
"
original sentence,"St Jude , the patron saint of Lost Causes , comes to mind ."
wrong word,Lost 8
mutation sentence,"St Jude himself , the patron saint of Lost Causes , comes to mind ."
mutation sentence,"St Jude , the patron saint also of Lost Causes , comes to mind ."
mutation sentence,"St Jude , the patron saint of Lost Causes , comes to mind often ."
mutation sentence,"St Jude , the patron saint of Lost Causes , comes to mind sometimes ."



"pos from 形容 to 其他
"


"pos from 介词 to 形容
"


"pos from 介词 to 介词
"


"pos from 介词 to 副词
"


"pos from 介词 to 助词
"


"pos from 介词 to 并列连词
"


"pos from 介词 to 定冠
"


"pos from 介词 to 感叹
"


"pos from 介词 to 名词
"


"pos from 介词 to 数字
"


"pos from 介词 to 功能
"


"pos from 介词 to 代词
"


"pos from 介词 to 特指名词
"


"pos from 介词 to 标点
"


"pos from 介词 to 从句连词
"
original sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
wrong word,of 20
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of in the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the general English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English language lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English syntax lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier had proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier previously proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his earlier theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his early theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his later theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , all while implementing the idea of emphasizing example sentences from corpora ."
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example language sentences from corpora ."

original sentence,"On the other hand , extant newspaper clippings from only a few days after the duel give a description of his opponent ( identified by the initials "" L. D. "" ) that appear to more accurately apply to one of Galois ' Republican friends , most probably Ernest Duchatelet , who was imprisoned with Galois on the same charges . [ 21 ]"
wrong word,after 14
mutation sentence,"On the other hand , extant newspaper clippings from only a few days after the duel clearly give a description of his opponent ( identified by the initials "" L. D. "" ) that appear to more accurately apply to one of Galois ' Republican friends , most probably Ernest Duchatelet , who was imprisoned with Galois on the same charges . [ 21 ]"
mutation sentence,"On the other hand , extant newspaper clippings from only a few days after the duel apparently give a description of his opponent ( identified by the initials "" L. D. "" ) that appear to more accurately apply to one of Galois ' Republican friends , most probably Ernest Duchatelet , who was imprisoned with Galois on the same charges . [ 21 ]"

original sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."
wrong word,to 24
mutation sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when they compared to what she was writing concurrently in her diary ."
mutation sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when it compared to what she was writing concurrently in her diary ."
mutation sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when she compared to what she was writing concurrently in her diary ."

original sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what his legs were doing ."
wrong word,against 19
mutation sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what only his legs were doing ."
mutation sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what even his legs were doing ."
mutation sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what not his legs were doing ."
mutation sentence,"At the sound of his name , Chalmers felt himself move robotically , his mind screaming in protest against what his robot legs were doing ."

original sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no reasonable expectation of what it should be like , or what it should n't be like ."
wrong word,of 30
mutation sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no longer reasonable expectation of what it should be like , or what it should n't be like ."
mutation sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no reasonable expectation of what it really should be like , or what it should n't be like ."
mutation sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no reasonable expectation of what it actually should be like , or what it should n't be like ."
mutation sentence,"The technology that Frank and his colleagues are using to explore the ice is so important because , given our lack of data , we have no reasonable expectation of what it truly should be like , or what it should n't be like ."

original sentence,The only way to get at what 's different is to make comparisons with close relatives .
wrong word,at 6
mutation sentence,The only way to get at what it 's different is to make comparisons with close relatives .
mutation sentence,The only way to get at what he 's different is to make comparisons with close relatives .
mutation sentence,The only way to get at what she 's different is to make comparisons with close relatives .

original sentence,I compared the things I saw under the 'scopes to what had been published on other species in this group .
wrong word,to 10
mutation sentence,I compared the things I saw under the 'scopes to what I had been published on other species in this group .
mutation sentence,I compared the things I saw under the 'scopes to what we had been published on other species in this group .

original sentence,Is it always about them ?
wrong word,about 4
mutation sentence,Is it always about them fighting ?



"pos from 介词 to 符号
"


"pos from 介词 to 动词
"


"pos from 介词 to 其他
"


"pos from 副词 to 形容
"
original sentence,I wondered how long it would be before it found reinforcements .
wrong word,long 4
mutation sentence,I often wondered how long it would be before it found reinforcements .
mutation sentence,I wondered exactly how long it would be before it found reinforcements .

original sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world as much as we ’ll hit characters in the entertainment world .
wrong word,much 14
mutation sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world almost as much as we ’ll hit characters in the entertainment world .
mutation sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world about as much as we ’ll hit characters in the entertainment world .
mutation sentence,We ’ll hit the mainstream media ’s portrayal of the entertainment world nearly as much as we ’ll hit characters in the entertainment world .

original sentence,"The only scheduled shipping service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
wrong word,only 2
mutation sentence,"The only scheduled passenger shipping service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled cargo shipping service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled freight shipping service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled shipping mail service to the Chatham Islands remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled shipping service to the Chatham Islands currently remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled shipping service to the Chatham Islands presently remains the Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."
mutation sentence,"The only scheduled shipping service to the Chatham Islands remains the small Black Robin Freighters "" Rangatira "" , an antiquated , slow and small coastal trading vessel ."

original sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in the world ."
wrong word,else 30
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found together anywhere else in the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found naturally anywhere else in the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found much anywhere else in the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in all the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in probably the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in most the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in possibly the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in perhaps the world ."
mutation sentence,"Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in both the world ."



"pos from 副词 to 介词
"
original sentence,"The US State Department said John Kerry , the Secretary of State , contacted Thailand 's foreign minister over temporary housing for the Rohingya out at sea ."
wrong word,out 25
mutation sentence,"The US State Department said John Kerry , the Secretary of State , contacted Thailand 's foreign minister over temporary housing for the Rohingya out at open sea ."



"pos from 副词 to 副词
"


"pos from 副词 to 助词
"


"pos from 副词 to 并列连词
"
original sentence,"“ Do n’t get much older either , ” Betty said ."
wrong word,either 7
mutation sentence,"“ Do n’t get much older either , now ” Betty said ."



"pos from 副词 to 定冠
"


"pos from 副词 to 感叹
"


"pos from 副词 to 名词
"


"pos from 副词 to 数字
"


"pos from 副词 to 功能
"


"pos from 副词 to 代词
"


"pos from 副词 to 特指名词
"


"pos from 副词 to 标点
"


"pos from 副词 to 从句连词
"


"pos from 副词 to 符号
"


"pos from 副词 to 动词
"


"pos from 副词 to 其他
"


"pos from 助词 to 形容
"


"pos from 助词 to 介词
"


"pos from 助词 to 副词
"


"pos from 助词 to 助词
"


"pos from 助词 to 并列连词
"


"pos from 助词 to 定冠
"


"pos from 助词 to 感叹
"


"pos from 助词 to 名词
"


"pos from 助词 to 数字
"


"pos from 助词 to 功能
"


"pos from 助词 to 代词
"


"pos from 助词 to 特指名词
"


"pos from 助词 to 标点
"


"pos from 助词 to 从句连词
"


"pos from 助词 to 符号
"


"pos from 助词 to 动词
"


"pos from 助词 to 其他
"


"pos from 并列连词 to 形容
"


"pos from 并列连词 to 介词
"


"pos from 并列连词 to 副词
"


"pos from 并列连词 to 助词
"


"pos from 并列连词 to 并列连词
"


"pos from 并列连词 to 定冠
"


"pos from 并列连词 to 感叹
"


"pos from 并列连词 to 名词
"


"pos from 并列连词 to 数字
"


"pos from 并列连词 to 功能
"


"pos from 并列连词 to 代词
"


"pos from 并列连词 to 特指名词
"


"pos from 并列连词 to 标点
"


"pos from 并列连词 to 从句连词
"


"pos from 并列连词 to 符号
"


"pos from 并列连词 to 动词
"


"pos from 并列连词 to 其他
"


"pos from 定冠 to 形容
"


"pos from 定冠 to 介词
"


"pos from 定冠 to 副词
"


"pos from 定冠 to 助词
"


"pos from 定冠 to 并列连词
"
original sentence,"Also , an independent who does not claim to belong to either camp , Edward Yiu of the Architectural , Surveying , Planning and Landscape constituency , defeated his opponents and was elected ."
wrong word,either 12
mutation sentence,"Also , an independent who does not claim to belong to either camp though , Edward Yiu of the Architectural , Surveying , Planning and Landscape constituency , defeated his opponents and was elected ."



"pos from 定冠 to 定冠
"


"pos from 定冠 to 感叹
"


"pos from 定冠 to 名词
"


"pos from 定冠 to 数字
"


"pos from 定冠 to 功能
"


"pos from 定冠 to 代词
"


"pos from 定冠 to 特指名词
"


"pos from 定冠 to 标点
"


"pos from 定冠 to 从句连词
"


"pos from 定冠 to 符号
"


"pos from 定冠 to 动词
"


"pos from 定冠 to 其他
"


"pos from 感叹 to 形容
"


"pos from 感叹 to 介词
"


"pos from 感叹 to 副词
"


"pos from 感叹 to 助词
"


"pos from 感叹 to 并列连词
"


"pos from 感叹 to 定冠
"


"pos from 感叹 to 感叹
"


"pos from 感叹 to 名词
"


"pos from 感叹 to 数字
"


"pos from 感叹 to 功能
"


"pos from 感叹 to 代词
"


"pos from 感叹 to 特指名词
"


"pos from 感叹 to 标点
"


"pos from 感叹 to 从句连词
"


"pos from 感叹 to 符号
"


"pos from 感叹 to 动词
"
original sentence,“ Snap ! ” Pete said .
wrong word,Snap 2
mutation sentence,“ Snap ! . ” Pete said .
mutation sentence,“ Snap ! ” Uncle Pete said .
mutation sentence,“ Snap ! ” Master Pete said .



"pos from 感叹 to 其他
"


"pos from 名词 to 形容
"
original sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and cognition , for the improvement of cognitive functions ."
wrong word,fun 25
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and human cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and social cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and cognitive cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and rational cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and normal cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and scientific cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and real cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and ordinary cognition , for the improvement of cognitive functions ."
mutation sentence,"Cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and general cognition , for the improvement of cognitive functions ."

original sentence,"Despite his clear potential and popularity , Pachomius refused to grant Theodorus any kind of authority ; though the old man 's failing health soon changed things forever ."
wrong word,potential 4
mutation sentence,"Despite his clear potential and great popularity , Pachomius refused to grant Theodorus any kind of authority ; though the old man 's failing health soon changed things forever ."

original sentence,She lay tense in the dark .
wrong word,dark 6
mutation sentence,She lay tense in all the dark .

original sentence,Her voice was listless in the dark and she was even harder to understand when I could n't see her properly .
wrong word,dark 7
mutation sentence,Her voice was listless in all the dark and she was even harder to understand when I could n't see her properly .

original sentence,"In the wild , Formica fusca can encounter similar chemicals in aphids and dead ants ."
wrong word,wild 3
mutation sentence,"In the wild , young Formica fusca can encounter similar chemicals in aphids and dead ants ."

original sentence,I do wear a lot of black .
wrong word,black 7
mutation sentence,I do wear a lot not of black .

original sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."
wrong word,downtown 33
mutation sentence,"Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to peacefully witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park ."



"pos from 名词 to 介词
"


"pos from 名词 to 副词
"


"pos from 名词 to 助词
"


"pos from 名词 to 并列连词
"


"pos from 名词 to 定冠
"


"pos from 名词 to 感叹
"


"pos from 名词 to 名词
"


"pos from 名词 to 数字
"
original sentence,"The central idea is to first apply rules to the smallest applicable unit , then to the smallest unit containing that one , and so on . [ 5 ]"
wrong word,one 22
mutation sentence,"The central idea is to first apply rules to the smallest applicable unit , then to the smallest unit containing all that one , and so on . [ 5 ]"

original sentence,"At an elevation of 1100 ft ( 335 m ) , it is situated in the biologically unique Sonoran Desert ."
wrong word,m 9
mutation sentence,"At an elevation of 1100 ft ( approximately 335 m ) , it is situated in the biologically unique Sonoran Desert ."



"pos from 名词 to 功能
"


"pos from 名词 to 代词
"


"pos from 名词 to 特指名词
"


"pos from 名词 to 标点
"


"pos from 名词 to 从句连词
"


"pos from 名词 to 符号
"


"pos from 名词 to 动词
"


"pos from 名词 to 其他
"


"pos from 数字 to 形容
"


"pos from 数字 to 介词
"


"pos from 数字 to 副词
"


"pos from 数字 to 助词
"


"pos from 数字 to 并列连词
"


"pos from 数字 to 定冠
"


"pos from 数字 to 感叹
"


"pos from 数字 to 名词
"


"pos from 数字 to 数字
"


"pos from 数字 to 功能
"


"pos from 数字 to 代词
"


"pos from 数字 to 特指名词
"


"pos from 数字 to 标点
"


"pos from 数字 to 从句连词
"


"pos from 数字 to 符号
"


"pos from 数字 to 动词
"


"pos from 数字 to 其他
"
original sentence,"1 Quaffle ( volleyball , Frisbee , soccer ball , etc . )"
wrong word,1 1
mutation sentence,"1 Quaffle ! ( volleyball , Frisbee , soccer ball , etc . )"



"pos from 功能 to 形容
"


"pos from 功能 to 介词
"


"pos from 功能 to 副词
"
original sentence,"So they rescinded their pledge not to use nuclear weapons on first strike , NATO had never rescinded it , but they had and started some remilitarization ."
wrong word,not 6
mutation sentence,"So they rescinded their peace pledge not to use nuclear weapons on first strike , NATO had never rescinded it , but they had and started some remilitarization ."



"pos from 功能 to 助词
"


"pos from 功能 to 并列连词
"


"pos from 功能 to 定冠
"


"pos from 功能 to 感叹
"


"pos from 功能 to 名词
"


"pos from 功能 to 数字
"


"pos from 功能 to 功能
"


